method,path,status,duration (ms)
POST,/login,200,287.7250
POST,/login,200,271.3470
POST,/login,200,277.8959
POST,/login,200,283.4423
POST,/login,200,274.2159
POST,/login,200,276.7179
POST,/login,200,276.8953
POST,/login,200,273.4931
GET,/libri,200,3.3538
POST,/login,200,282.3951
POST,/login,200,271.0462
POST,/login,200,231.1561
GET,/libri,200,2.0759
POST,/login,200,233.7117
POST,/login,200,277.3480
POST,/login,200,231.4522
GET,/libri,200,2.9042
POST,/login,200,232.1250
POST,/login,200,275.0232
POST,/login,200,232.1389
GET,/libri,200,3.0439
POST,/login,200,233.5570
GET,/libri,200,2.9352
POST,/login,200,276.9153
POST,/login,200,231.6120
GET,/libri,200,2.9650
POST,/login,200,234.2279
GET,/libri,200,2.1021
POST,/login,200,278.5251
POST,/login,200,231.3309
GET,/libri,200,2.9581
POST,/login,200,232.7800
GET,/libri,200,1.6150
POST,/login,200,275.4531
GET,/libri,200,2.2957
POST,/login,200,230.8781
GET,/libri,200,2.9669
POST,/login,200,233.0329
GET,/libri,200,2.8090
POST,/login,200,274.9209
POST,/login,200,231.9069
GET,/libri,200,2.8918
GET,/libri,200,1.9279
POST,/login,200,233.8309
GET,/libri,200,2.4381
POST,/login,200,270.2339
GET,/libri,200,2.6450
POST,/login,200,231.2388
GET,/libri,200,2.7471
POST,/login,200,232.9888
GET,/libri,200,2.8341
POST,/login,200,262.6400
POST,/login,200,232.8358
POST,/login,200,230.9549
GET,/libri,200,2.9421
GET,/libri,200,1.9972
POST,/login,200,230.8238
GET,/libri,200,2.5580
POST,/login,200,233.1967
POST,/login,200,232.1801
POST,/login,200,232.2302
GET,/libri,200,2.9750
GET,/libri,200,1.7130
POST,/login,200,231.0421
GET,/libri,200,3.1791
POST,/login,200,239.1911
POST,/login,200,231.7560
POST,/login,200,231.9541
GET,/libri,200,2.8720
GET,/libri,200,2.1930
POST,/login,200,231.3828
GET,/libri,200,2.1679
POST,/login,200,237.4132
POST,/login,200,232.1191
POST,/login,200,232.1999
POST,/login,200,232.4779
GET,/libri,200,2.6050
GET,/libri,200,1.2350
POST,/login,200,230.6190
GET,/libri,200,3.0019
POST,/login,200,233.0902
POST,/login,200,230.4420
POST,/login,200,232.0142
GET,/libri,200,1.4219
POST,/login,200,231.0007
GET,/libri,200,2.6841
POST,/login,200,231.1440
GET,/libri,200,2.6507
POST,/login,200,231.8399
POST,/login,200,230.7510
POST,/login,200,232.2500
GET,/libri,200,3.0179
POST,/login,200,251.4937
GET,/libri,200,2.0258
POST,/login,200,231.3011
GET,/libri,200,2.3749
POST,/login,200,230.7510
GET,/libri,200,3.0231
POST,/login,200,231.3411
GET,/libri,200,2.9352
POST,/login,200,231.3430
GET,/libri,200,2.7752
GET,/libri,200,1.3621
GET,/libri,200,1.4942
POST,/login,200,230.8280
POST,/login,200,232.1801
GET,/libri,200,2.5909
POST,/login,200,231.3809
POST,/login,200,231.5471
POST,/login,200,232.2187
GET,/libri,200,2.6319
GET,/libri,200,2.1868
POST,/login,200,231.1208
GET,/libri,200,1.7591
GET,/libri,200,1.4002
GET,/libri,200,1.0791
POST,/login,200,230.2678
POST,/login,200,231.6058
GET,/libri,200,2.9259
POST,/login,200,231.2989
GET,/libri,200,1.9441
POST,/login,200,230.7537
POST,/login,200,231.7131
POST,/login,200,232.3010
POST,/login,200,232.3318
POST,/login,200,232.1999
POST,/login,200,231.6301
POST,/login,200,232.5361
GET,/libri,200,1.8430
POST,/login,200,231.3521
POST,/login,200,231.6401
GET,/libri,200,1.7972
GET,/libri,200,1.2722
POST,/login,200,230.9191
POST,/login,200,231.5338
GET,/libri,200,3.0100
GET,/libri,200,2.0070
GET,/libri,200,1.8489
POST,/login,200,230.6452
POST,/login,200,231.8180
POST,/login,200,231.3418
POST,/login,200,232.3132
GET,/libri,200,11.2851
POST,/login,200,238.1401
GET,/libri,200,2.5480
POST,/login,200,233.7139
POST,/login,200,233.8040
GET,/libri,200,1.6181
POST,/login,200,242.0051
POST,/login,200,235.8899
GET,/libri,200,1.9610
POST,/login,200,234.5300
POST,/login,200,235.5912
GET,/libri,200,1.6689
GET,/libri,200,1.3449
POST,/login,200,233.3441
POST,/login,200,234.5936
POST,/login,200,232.8622
GET,/libri,200,1.8098
GET,/libri,200,1.5528
POST,/login,200,234.8473
GET,/libri,200,2.3243
POST,/login,200,232.3914
POST,/login,200,231.8349
POST,/login,200,235.4560
POST,/login,200,250.8602
POST,/login,200,247.5569
GET,/libri,200,2.2020
GET,/libri,200,1.1499
GET,/libri,200,1.0879
GET,/libri,200,1.7831
GET,/libri,200,1.7271
GET,/libri,200,2.0871
POST,/login,200,234.1917
GET,/libri,200,2.3890
GET,/libri,200,1.9639
GET,/libri,200,1.8420
POST,/login,200,236.7070
POST,/login,200,233.2401
POST,/login,200,232.2688
GET,/libri,200,2.5077
POST,/login,200,232.2721
POST,/login,200,232.3997
GET,/libri,200,1.8909
GET,/libri,200,1.5802
GET,/libri,200,1.1969
POST,/login,200,231.1580
POST,/login,200,232.9440
POST,/login,200,232.7380
POST,/login,200,232.9950
GET,/libri,200,2.7781
POST,/login,200,232.2481
GET,/libri,200,2.6159
GET,/libri,200,2.0659
POST,/login,200,232.1191
POST,/login,200,232.7631
POST,/login,200,233.4158
POST,/login,200,232.6109
POST,/login,200,232.4839
POST,/login,200,232.6541
GET,/libri,200,2.8579
GET,/libri,200,2.4393
POST,/login,200,231.9107
POST,/login,200,232.4018
GET,/libri,200,2.9221
GET,/libri,200,1.6310
POST,/login,200,231.3011
POST,/login,200,232.0311
POST,/login,200,232.6400
POST,/login,200,231.9889
GET,/libri,200,2.7411
POST,/login,200,231.5550
GET,/libri,200,3.0150
POST,/login,200,231.7860
GET,/libri,200,2.1517
POST,/login,200,231.1790
POST,/login,200,232.6143
POST,/login,200,232.3122
GET,/libri,200,2.3811
POST,/login,200,231.9791
POST,/login,200,232.4553
GET,/libri,200,2.6560
GET,/libri,200,1.8768
POST,/login,200,231.6089
POST,/login,200,232.1320
GET,/libri,200,1.8930
GET,/libri,200,1.9548
GET,/libri,200,1.7180
GET,/libri,200,1.8520
GET,/libri,200,1.4620
GET,/libri,200,1.5061
GET,/libri,200,1.6599
POST,/login,200,237.5369
POST,/login,200,233.1781
GET,/libri,200,1.7910
GET,/libri,200,1.4541
POST,/login,200,232.1317
POST,/login,200,232.5630
GET,/libri,200,2.4986
GET,/libri,200,1.8549
POST,/login,200,231.5180
POST,/login,200,232.5451
POST,/login,200,231.7100
POST,/login,200,253.7229
POST,/login,200,232.7299
GET,/libri,200,2.6140
POST,/login,200,231.7340
GET,/libri,200,2.2612
GET,/libri,200,1.5860
GET,/libri,200,1.4629
GET,/libri,200,1.5318
POST,/login,200,231.5001
GET,/libri,200,2.5792
POST,/login,200,231.8392
POST,/login,200,233.3450
GET,/libri,200,2.7740
POST,/login,200,232.0640
GET,/libri,200,3.6490
POST,/login,200,231.3769
GET,/libri,200,2.8980
GET,/libri,200,2.1071
POST,/login,200,238.7710
GET,/libri,200,1.9882
POST,/login,200,231.1082
GET,/libri,200,2.7001
GET,/libri,200,1.8098
POST,/login,200,231.9329
GET,/libri,200,2.8801
POST,/login,200,232.0161
POST,/login,200,232.3308
POST,/login,200,233.1061
POST,/login,200,234.2541
POST,/login,200,231.7600
GET,/libri,200,2.7561
POST,/login,200,233.5901
POST,/login,200,231.6921
POST,/login,200,232.7271
POST,/login,200,232.3411
GET,/libri,200,2.7721
POST,/login,200,243.7930
POST,/login,200,232.2109
POST,/login,200,233.0849
GET,/libri,200,2.2399
GET,/libri,200,1.4510
POST,/login,200,231.3721
GET,/libri,200,2.7022
POST,/login,200,231.9081
POST,/login,200,231.9894
GET,/libri,200,2.5589
POST,/login,200,232.0991
GET,/libri,200,2.5122
POST,/login,200,231.3330
GET,/libri,200,2.3711
POST,/login,200,232.0468
POST,/login,200,232.6012
POST,/login,200,232.8050
GET,/libri,200,2.5699
GET,/libri,200,1.2169
GET,/libri,200,2.8348
GET,/libri,200,2.4498
POST,/login,200,231.7913
POST,/login,200,232.1689
POST,/login,200,252.1920
