method,path,status,duration (ms)
GET,/libri,200,1.9531
POST,/login,200,231.2472
GET,/libri,200,2.9619
POST,/login,200,242.9500
POST,/login,200,231.7708
POST,/login,200,231.8420
GET,/libri,200,2.6739
POST,/login,200,232.3611
GET,/libri,200,3.1066
GET,/libri,200,2.1183
POST,/login,200,237.6988
POST,/login,200,231.6530
POST,/login,200,232.2800
GET,/libri,200,2.8338
GET,/libri,200,1.6501
GET,/libri,200,2.8481
POST,/login,200,275.2619
POST,/login,200,231.9312
POST,/login,200,232.1720
GET,/libri,200,2.5947
GET,/libri,200,1.5509
GET,/libri,200,1.5030
POST,/login,200,276.8500
POST,/login,200,232.6488
POST,/login,200,234.1070
GET,/libri,200,1.4977
GET,/libri,200,1.0612
GET,/libri,200,0.9608
GET,/libri,200,3.7541
POST,/login,200,282.3639
POST,/login,200,234.1249
POST,/login,200,233.2568
GET,/libri,200,1.8692
GET,/libri,200,1.2889
GET,/libri,200,1.3139
GET,/libri,200,3.4890
POST,/login,200,261.3699
POST,/login,200,233.8638
POST,/login,200,234.8609
GET,/libri,200,2.0449
GET,/libri,200,2.0652
GET,/libri,200,1.6832
GET,/libri,200,4.4489
POST,/login,200,280.4992
POST,/login,200,238.2519
POST,/login,200,234.4010
GET,/libri,200,2.8372
GET,/libri,200,1.1010
GET,/libri,200,1.0741
POST,/login,200,294.4450
POST,/login,200,247.5250
POST,/login,200,240.0179
GET,/libri,200,1.6630
GET,/libri,200,1.1914
GET,/libri,200,1.5430
POST,/login,200,280.2870
POST,/login,200,233.3729
POST,/login,200,232.8470
GET,/libri,200,2.8620
GET,/libri,200,1.9050
GET,/libri,200,1.7481
POST,/login,200,278.6403
POST,/login,200,232.1179
GET,/libri,200,3.2282
GET,/libri,200,1.6494
GET,/libri,200,4.6678
POST,/login,200,271.2479
POST,/login,200,231.9882
GET,/libri,200,2.4869
GET,/libri,200,1.6389
GET,/libri,200,4.4360
POST,/login,200,275.5859
POST,/login,200,232.4181
GET,/libri,200,3.0229
GET,/libri,200,2.0502
GET,/libri,200,3.2172
POST,/login,200,276.2501
POST,/login,200,232.3179
GET,/libri,200,2.7578
GET,/libri,200,2.2199
GET,/libri,200,4.7681
POST,/login,200,275.7442
POST,/login,200,232.6899
GET,/libri,200,2.6960
GET,/libri,200,1.7569
GET,/libri,200,4.7638
POST,/login,200,277.8401
GET,/libri,200,2.7821
GET,/libri,200,2.1250
POST,/login,200,277.7920
GET,/libri,200,2.6371
GET,/libri,200,3.2041
POST,/login,200,282.6860
GET,/libri,200,1.6639
GET,/libri,200,2.1660
POST,/login,200,276.6240
GET,/libri,200,2.0161
GET,/libri,200,3.2010
POST,/login,200,275.1031
GET,/libri,200,1.7233
GET,/libri,200,1.7259
POST,/login,200,279.8181
GET,/libri,200,2.9488
POST,/login,200,276.3839
GET,/libri,200,1.9059
POST,/login,200,277.4129
GET,/libri,200,2.8758
POST,/login,200,282.9480
GET,/libri,200,2.9628
GET,/libri,200,4.8690
GET,/libri,200,5.1050
GET,/libri,200,4.6427
GET,/libri,200,5.0220
GET,/libri,200,4.1709
