method,path,status,duration (ms)
POST,/login,200,286.1340
POST,/login,200,272.6903
POST,/login,200,278.5060
POST,/login,200,280.7858
POST,/login,200,282.8739
POST,/login,200,279.1200
GET,/libri,200,2.7440
POST,/login,200,275.8932
POST,/login,200,234.8599
GET,/libri,200,2.1832
POST,/login,200,286.9871
POST,/login,200,239.7430
GET,/libri,200,1.9472
POST,/login,200,276.6359
POST,/login,200,235.6219
GET,/libri,200,1.4882
POST,/login,200,278.9083
POST,/login,200,231.6070
POST,/login,200,231.9920
GET,/libri,200,3.0982
POST,/login,200,277.3712
POST,/login,200,232.3120
POST,/login,200,232.4800
GET,/libri,200,2.3057
POST,/login,200,271.2131
GET,/libri,200,2.8429
POST,/login,200,232.0120
POST,/login,200,231.9839
GET,/libri,200,2.2659
POST,/login,200,280.2501
POST,/login,200,246.0282
GET,/libri,200,2.3592
POST,/login,200,231.2970
GET,/libri,200,2.6131
POST,/login,200,234.4522
POST,/login,200,231.5578
GET,/libri,200,2.6639
POST,/login,200,233.6090
POST,/login,200,231.9191
GET,/libri,200,2.7730
POST,/login,200,236.8650
POST,/login,200,231.7522
GET,/libri,200,3.0527
POST,/login,200,231.7121
POST,/login,200,231.9911
GET,/libri,200,2.2838
GET,/libri,200,1.1852
POST,/login,200,234.3638
POST,/login,200,232.2571
GET,/libri,200,3.0289
POST,/login,200,232.8770
POST,/login,200,232.5108
GET,/libri,200,2.6443
GET,/libri,200,1.6532
POST,/login,200,234.3979
POST,/login,200,231.7648
GET,/libri,200,2.2168
POST,/login,200,231.6210
POST,/login,200,232.7452
GET,/libri,200,2.7821
GET,/libri,200,1.7710
POST,/login,200,234.4520
POST,/login,200,236.8650
POST,/login,200,244.1649
POST,/login,200,233.7811
GET,/libri,200,2.5101
POST,/login,200,231.2143
GET,/libri,200,2.6729
GET,/libri,200,1.9920
POST,/login,200,231.0510
POST,/login,200,231.8633
POST,/login,200,231.2231
GET,/libri,200,1.7118
GET,/libri,200,1.2772
POST,/login,200,230.6261
POST,/login,200,231.7529
GET,/libri,200,2.4009
GET,/libri,200,1.7040
POST,/login,200,230.7482
POST,/login,200,231.7870
POST,/login,200,231.1361
GET,/libri,200,2.6171
POST,/login,200,231.3390
POST,/login,200,231.0247
GET,/libri,200,2.4590
GET,/libri,200,1.6670
POST,/login,200,230.7551
POST,/login,200,232.0619
GET,/libri,200,3.0160
POST,/login,200,231.3578
GET,/libri,200,2.9759
GET,/libri,200,1.9059
POST,/login,200,231.0421
POST,/login,200,231.9260
POST,/login,200,230.6900
GET,/libri,200,2.9042
GET,/libri,200,1.7548
GET,/libri,200,1.4000
GET,/libri,200,1.3959
GET,/libri,200,1.3270
GET,/libri,200,2.8570
POST,/login,200,246.9130
POST,/login,200,238.3561
POST,/login,200,231.7710
POST,/login,200,232.6703
GET,/libri,200,2.9440
GET,/libri,200,1.9279
POST,/login,200,231.3192
POST,/login,200,231.5931
GET,/libri,200,1.8849
POST,/login,200,230.8309
POST,/login,200,231.3609
GET,/libri,200,1.9181
POST,/login,200,230.9599
POST,/login,200,231.7851
POST,/login,200,231.9891
GET,/libri,200,2.7790
POST,/login,200,231.1542
POST,/login,200,231.9582
POST,/login,200,232.1489
GET,/libri,200,1.8330
POST,/login,200,230.9732
POST,/login,200,231.5710
GET,/libri,200,2.9340
POST,/login,200,231.2448
GET,/libri,200,2.8608
POST,/login,200,230.9077
POST,/login,200,232.2381
GET,/libri,200,2.7010
POST,/login,200,233.5212
POST,/login,200,234.2021
POST,/login,200,232.8839
POST,/login,200,230.2420
GET,/libri,200,2.7249
POST,/login,200,233.1569
GET,/libri,200,1.6000
POST,/login,200,244.3173
POST,/login,200,230.8598
GET,/libri,200,1.7500
POST,/login,200,230.5040
POST,/login,200,232.2750
POST,/login,200,232.8568
POST,/login,200,231.2961
POST,/login,200,231.4990
POST,/login,200,231.8439
GET,/libri,200,3.0961
GET,/libri,200,2.2588
POST,/login,200,231.3337
POST,/login,200,230.9139
POST,/login,200,231.9720
POST,/login,200,231.8401
POST,/login,200,231.5090
POST,/login,200,232.2769
GET,/libri,200,2.3041
POST,/login,200,231.2541
POST,/login,200,231.9851
GET,/libri,200,2.8660
GET,/libri,200,1.6768
POST,/login,200,230.8221
GET,/libri,200,2.1203
POST,/login,200,230.2818
GET,/libri,200,2.9202
GET,/libri,200,1.7099
POST,/login,200,261.3320
POST,/login,200,248.5108
POST,/login,200,237.5219
GET,/libri,200,2.1293
POST,/login,200,243.0561
POST,/login,200,233.3879
POST,/login,200,240.5179
GET,/libri,200,2.1391
GET,/libri,200,1.9379
POST,/login,200,234.5159
GET,/libri,200,2.6128
POST,/login,200,231.8180
GET,/libri,200,2.4939
GET,/libri,200,1.8377
POST,/login,200,231.9932
POST,/login,200,232.7869
POST,/login,200,235.9538
GET,/libri,200,1.7331
GET,/libri,200,1.0481
POST,/login,200,234.7438
POST,/login,200,256.6760
POST,/login,200,234.3287
GET,/libri,200,1.7710
POST,/login,200,230.8788
POST,/login,200,232.7368
POST,/login,200,233.1419
GET,/libri,200,1.8048
POST,/login,200,231.5009
GET,/libri,200,1.7011
GET,/libri,200,1.5180
POST,/login,200,230.8972
GET,/libri,200,2.2359
POST,/login,200,231.5819
POST,/login,200,232.1842
POST,/login,200,232.3992
GET,/libri,200,2.6109
GET,/libri,200,2.0113
POST,/login,200,231.6999
POST,/login,200,232.3201
POST,/login,200,233.5908
GET,/libri,200,2.0609
POST,/login,200,231.4260
POST,/login,200,233.6330
POST,/login,200,231.9691
POST,/login,200,233.7348
GET,/libri,200,1.2507
GET,/libri,200,0.9010
POST,/login,200,230.7289
POST,/login,200,234.7808
POST,/login,200,245.0576
GET,/libri,200,1.3759
GET,/libri,200,1.0650
POST,/login,200,231.1199
POST,/login,200,232.6210
POST,/login,200,233.2969
GET,/libri,200,2.8491
GET,/libri,200,1.8418
POST,/login,200,231.8430
GET,/libri,200,3.0191
POST,/login,200,232.1591
POST,/login,200,234.6160
POST,/login,200,244.6358
GET,/libri,200,1.6897
POST,/login,200,232.3217
GET,/libri,200,2.9829
GET,/libri,200,1.8792
POST,/login,200,231.4839
POST,/login,200,232.6038
GET,/libri,200,2.4371
POST,/login,200,231.3921
GET,/libri,200,2.6522
GET,/libri,200,1.9791
POST,/login,200,231.6582
GET,/libri,200,2.4970
POST,/login,200,231.3218
POST,/login,200,232.1131
GET,/libri,200,1.6370
POST,/login,200,230.7241
POST,/login,200,232.2991
GET,/libri,200,2.8889
GET,/libri,200,1.9553
POST,/login,200,231.3330
GET,/libri,200,2.2171
GET,/libri,200,1.4389
POST,/login,200,231.1788
POST,/login,200,231.4098
GET,/libri,200,1.8952
GET,/libri,200,1.1530
POST,/login,200,231.0240
POST,/login,200,254.5123
GET,/libri,200,1.5891
