method,path,status,duration (ms)
POST,/login,200,288.4390
GET,/libri,200,4.4663
POST,/login,200,287.1749
POST,/login,200,277.6480
POST,/login,200,275.4898
POST,/login,200,275.7988
POST,/login,200,279.3541
GET,/libri,200,5.4092
GET,/libri,200,3.9680
GET,/libri,200,3.3963
GET,/libri,200,4.8933
GET,/libri,200,4.7519
POST,/login,200,277.1761
POST,/login,200,275.9218
POST,/login,200,278.1639
POST,/login,200,282.4831
POST,/login,200,278.3489
GET,/libri,200,2.6860
GET,/libri,200,5.1141
GET,/libri,200,4.9150
GET,/libri,200,4.7510
GET,/libri,200,3.2513
POST,/login,200,276.4161
POST,/login,200,256.5660
POST,/login,200,276.9098
POST,/login,200,278.6381
POST,/login,200,285.4760
GET,/libri,200,4.8978
GET,/libri,200,3.8023
GET,/libri,200,4.7188
GET,/libri,200,6.0060
GET,/libri,200,4.8010
POST,/login,200,280.3600
POST,/login,200,272.9700
POST,/login,200,276.6778
POST,/login,200,281.9812
POST,/login,200,275.2590
GET,/libri,200,2.6879
GET,/libri,200,3.2382
GET,/libri,200,3.3610
GET,/libri,200,3.4633
GET,/libri,200,1.9279
POST,/login,200,282.7392
POST,/login,200,279.5372
POST,/login,200,276.4342
POST,/login,200,281.3220
POST,/login,200,288.3081
GET,/libri,200,4.8358
GET,/libri,200,4.7169
GET,/libri,200,3.1111
GET,/libri,200,3.8660
GET,/libri,200,4.5593
POST,/login,200,280.2491
POST,/login,200,274.6031
POST,/login,200,278.0609
POST,/login,200,275.6531
POST,/login,200,279.0520
GET,/libri,200,4.0720
GET,/libri,200,5.2512
GET,/libri,200,4.3600
GET,/libri,200,3.3870
GET,/libri,200,3.7463
POST,/login,200,280.4461
POST,/login,200,280.4430
POST,/login,200,275.3160
POST,/login,200,276.6063
POST,/login,200,275.3742
GET,/libri,200,4.7619
GET,/libri,200,4.9491
GET,/libri,200,4.8342
GET,/libri,200,5.7521
GET,/libri,200,2.1572
