method,path,status,duration (ms)
POST,/login,200,278.4309
POST,/login,200,276.5021
POST,/login,200,278.5430
POST,/login,200,275.6710
POST,/login,200,276.6292
POST,/login,200,275.2168
GET,/libri,200,2.9571
POST,/login,200,272.0151
GET,/libri,200,4.1249
POST,/login,200,275.5320
GET,/libri,200,3.1621
POST,/login,200,276.1638
GET,/libri,200,2.5029
POST,/login,200,275.0421
GET,/libri,200,2.8479
POST,/login,200,270.6828
GET,/libri,200,1.7502
POST,/login,200,276.1018
GET,/libri,200,2.2552
POST,/login,200,277.1928
GET,/libri,200,1.9441
POST,/login,200,276.5870
GET,/libri,200,2.8343
POST,/login,200,282.1732
GET,/libri,200,2.1899
POST,/login,200,279.9752
GET,/libri,200,2.8880
POST,/login,200,275.0781
GET,/libri,200,3.2227
POST,/login,200,280.3180
GET,/libri,200,2.8689
POST,/login,200,276.5119
POST,/login,200,278.1289
GET,/libri,200,2.4652
POST,/login,200,280.3309
POST,/login,200,274.6711
GET,/libri,200,2.0399
POST,/login,200,282.1929
POST,/login,200,276.4699
GET,/libri,200,2.8870
POST,/login,200,271.9791
POST,/login,200,274.4691
GET,/libri,200,1.7211
POST,/login,200,283.3793
POST,/login,200,275.5241
GET,/libri,200,2.0370
POST,/login,200,275.0740
GET,/libri,200,2.0077
POST,/login,200,273.6571
GET,/libri,200,3.0558
POST,/login,200,275.6937
GET,/libri,200,2.8741
POST,/login,200,278.1758
GET,/libri,200,2.1188
POST,/login,200,364.4540
GET,/libri,200,2.0208
POST,/login,200,249.2123
GET,/libri,200,2.2399
POST,/login,200,274.7319
GET,/libri,200,3.0699
POST,/login,200,280.9081
GET,/libri,200,2.9981
POST,/login,200,273.7341
GET,/libri,200,3.1290
POST,/login,200,278.1448
GET,/libri,200,1.9948
POST,/login,200,280.0550
GET,/libri,200,2.9569
POST,/login,200,275.9311
GET,/libri,200,3.0260
POST,/login,200,276.7029
GET,/libri,200,2.6901
POST,/login,200,273.2890
GET,/libri,200,3.0692
POST,/login,200,276.7611
GET,/libri,200,2.9991
POST,/login,200,276.8610
GET,/libri,200,2.7697
POST,/login,200,282.9480
GET,/libri,200,2.8930
POST,/login,200,283.0980
GET,/libri,200,2.0499
POST,/login,200,277.8380
GET,/libri,200,2.7461
POST,/login,200,276.0131
GET,/libri,200,2.7621
POST,/login,200,277.8549
GET,/libri,200,2.5501
POST,/login,200,344.3699
GET,/libri,200,2.3112
POST,/login,200,263.4890
GET,/libri,200,1.8289
POST,/login,200,277.2090
GET,/libri,200,3.3691
POST,/login,200,281.9688
GET,/libri,200,2.3122
POST,/login,200,277.9982
POST,/login,200,233.0093
GET,/libri,200,1.0712
POST,/login,200,229.8098
GET,/libri,200,2.6710
POST,/login,200,256.7837
POST,/login,200,231.9100
GET,/libri,200,2.5232
POST,/login,200,230.7768
GET,/libri,200,1.7011
POST,/login,200,272.5871
POST,/login,200,231.5619
GET,/libri,200,1.9331
POST,/login,200,230.9849
GET,/libri,200,2.8329
POST,/login,200,271.6832
POST,/login,200,239.8489
GET,/libri,200,1.6971
POST,/login,200,236.1109
GET,/libri,200,2.2759
POST,/login,200,280.3459
POST,/login,200,232.2102
GET,/libri,200,3.0100
POST,/login,200,231.2610
GET,/libri,200,1.7574
POST,/login,200,278.4140
POST,/login,200,231.4100
GET,/libri,200,2.2540
POST,/login,200,230.9802
GET,/libri,200,2.5909
GET,/libri,200,1.7352
POST,/login,200,282.9189
POST,/login,200,233.4921
GET,/libri,200,3.1161
GET,/libri,200,2.0480
POST,/login,200,230.6778
GET,/libri,200,1.7140
POST,/login,200,275.1291
POST,/login,200,239.2943
GET,/libri,200,2.2740
POST,/login,200,230.9723
GET,/libri,200,3.0181
GET,/libri,200,1.9920
POST,/login,200,275.6791
POST,/login,200,232.0950
GET,/libri,200,2.1338
POST,/login,200,230.4404
GET,/libri,200,3.3209
GET,/libri,200,2.7030
POST,/login,200,276.7351
POST,/login,200,231.5271
GET,/libri,200,2.9271
POST,/login,200,231.2782
GET,/libri,200,1.7600
GET,/libri,200,1.1179
POST,/login,200,276.5849
POST,/login,200,232.0600
GET,/libri,200,3.0639
POST,/login,200,230.9561
GET,/libri,200,1.8489
GET,/libri,200,1.5390
POST,/login,200,274.7972
POST,/login,200,231.9729
GET,/libri,200,1.8241
POST,/login,200,231.2789
GET,/libri,200,3.0420
GET,/libri,200,2.0761
POST,/login,200,285.5492
POST,/login,200,263.3390
GET,/libri,200,1.7819
POST,/login,200,231.1051
GET,/libri,200,2.7802
GET,/libri,200,1.5073
POST,/login,200,277.4589
POST,/login,200,235.2281
GET,/libri,200,2.5232
POST,/login,200,231.7188
GET,/libri,200,2.9302
GET,/libri,200,1.7231
POST,/login,200,274.6141
POST,/login,200,232.8320
GET,/libri,200,3.0189
POST,/login,200,230.9709
GET,/libri,200,2.0747
GET,/libri,200,1.2128
POST,/login,200,276.7930
GET,/libri,200,2.1911
POST,/login,200,264.0650
GET,/libri,200,1.4141
GET,/libri,200,0.9379
POST,/login,200,244.9338
POST,/login,200,230.7351
GET,/libri,200,2.8369
POST,/login,200,269.4249
GET,/libri,200,3.0460
GET,/libri,200,1.8132
POST,/login,200,242.6119
POST,/login,200,231.0731
GET,/libri,200,2.9321
POST,/login,200,265.7368
GET,/libri,200,2.7163
GET,/libri,200,2.6121
POST,/login,200,239.6371
POST,/login,200,231.1349
GET,/libri,200,3.0558
POST,/login,200,267.6120
GET,/libri,200,1.9770
GET,/libri,200,1.5831
POST,/login,200,239.7521
POST,/login,200,230.6681
GET,/libri,200,2.9938
POST,/login,200,258.1921
GET,/libri,200,2.2850
GET,/libri,200,1.5891
POST,/login,200,241.4820
POST,/login,200,231.6899
GET,/libri,200,1.9243
POST,/login,200,271.9641
GET,/libri,200,2.0630
POST,/login,200,241.1630
POST,/login,200,231.2260
GET,/libri,200,2.8794
GET,/libri,200,1.9419
POST,/login,200,270.3431
GET,/libri,200,2.7390
POST,/login,200,239.7811
POST,/login,200,231.2160
GET,/libri,200,2.0339
GET,/libri,200,2.0132
POST,/login,200,271.3749
GET,/libri,200,2.9719
POST,/login,200,239.4831
POST,/login,200,236.2320
GET,/libri,200,2.3417
GET,/libri,200,1.4751
POST,/login,200,251.7860
GET,/libri,200,2.6879
POST,/login,200,245.6398
POST,/login,200,231.2448
GET,/libri,200,2.9840
GET,/libri,200,1.9200
POST,/login,200,268.1711
GET,/libri,200,1.9488
POST,/login,200,241.0440
POST,/login,200,231.7400
GET,/libri,200,2.7931
GET,/libri,200,1.9569
POST,/login,200,267.2961
GET,/libri,200,2.9089
POST,/login,200,243.0048
POST,/login,200,230.5532
GET,/libri,200,2.7690
GET,/libri,200,1.8780
POST,/login,200,269.6221
GET,/libri,200,2.7010
POST,/login,200,243.3109
POST,/login,200,231.7710
GET,/libri,200,2.7430
GET,/libri,200,1.9300
POST,/login,200,270.4439
GET,/libri,200,2.7106
POST,/login,200,240.6857
POST,/login,200,231.3120
GET,/libri,200,1.7691
GET,/libri,200,1.6460
POST,/login,200,246.8967
GET,/libri,200,2.2750
POST,/login,200,244.8959
POST,/login,200,231.3211
GET,/libri,200,1.9031
GET,/libri,200,1.6263
POST,/login,200,271.1351
GET,/libri,200,3.0699
POST,/login,200,238.5950
POST,/login,200,231.5359
POST,/login,200,232.0447
GET,/libri,200,3.1121
GET,/libri,200,1.8480
POST,/login,200,231.2508
GET,/libri,200,2.8820
POST,/login,200,238.6868
POST,/login,200,231.3411
POST,/login,200,232.3420
GET,/libri,200,2.5721
GET,/libri,200,1.2369
POST,/login,200,230.8848
GET,/libri,200,2.9397
POST,/login,200,240.3522
POST,/login,200,231.7472
POST,/login,200,232.3081
GET,/libri,200,3.0520
GET,/libri,200,1.8792
GET,/libri,200,2.9960
POST,/login,200,273.5548
POST,/login,200,232.3787
POST,/login,200,231.5059
GET,/libri,200,2.6171
GET,/libri,200,1.1451
GET,/libri,200,2.7599
POST,/login,200,275.5520
POST,/login,200,232.3511
POST,/login,200,231.8299
GET,/libri,200,3.1080
GET,/libri,200,1.9612
GET,/libri,200,3.4029
POST,/login,200,275.7492
POST,/login,200,232.2330
POST,/login,200,231.2081
GET,/libri,200,3.0317
GET,/libri,200,1.9970
GET,/libri,200,1.6868
GET,/libri,200,5.2590
POST,/login,200,275.8670
POST,/login,200,230.9849
POST,/login,200,232.2540
GET,/libri,200,3.0432
GET,/libri,200,1.7169
GET,/libri,200,1.7061
GET,/libri,200,3.5591
POST,/login,200,282.6209
POST,/login,200,231.9009
POST,/login,200,232.2848
GET,/libri,200,3.0148
GET,/libri,200,1.8013
GET,/libri,200,1.6489
POST,/login,200,270.9303
POST,/login,200,233.7568
POST,/login,200,231.4858
GET,/libri,200,3.0558
GET,/libri,200,1.7607
GET,/libri,200,1.6251
POST,/login,200,267.6170
POST,/login,200,232.1804
POST,/login,200,233.1259
GET,/libri,200,2.5342
GET,/libri,200,1.1950
GET,/libri,200,1.3750
POST,/login,200,279.1080
POST,/login,200,231.7309
POST,/login,200,231.0319
GET,/libri,200,2.8942
GET,/libri,200,1.8260
GET,/libri,200,1.7447
POST,/login,200,275.0969
POST,/login,200,231.7712
POST,/login,200,232.2648
GET,/libri,200,2.9001
GET,/libri,200,1.7033
GET,/libri,200,1.6680
POST,/login,200,275.5291
POST,/login,200,232.8260
POST,/login,200,232.3368
GET,/libri,200,2.6748
GET,/libri,200,1.5550
GET,/libri,200,1.5829
POST,/login,200,272.7361
POST,/login,200,232.1899
POST,/login,200,232.4333
GET,/libri,200,2.2359
GET,/libri,200,1.4148
GET,/libri,200,1.1079
POST,/login,200,277.5118
POST,/login,200,231.6291
POST,/login,200,235.2359
GET,/libri,200,1.9541
GET,/libri,200,1.8139
GET,/libri,200,1.5969
POST,/login,200,277.6151
POST,/login,200,231.7100
POST,/login,200,230.8359
POST,/login,200,232.0111
GET,/libri,200,1.8940
GET,/libri,200,1.5874
GET,/libri,200,1.5960
POST,/login,200,233.6972
POST,/login,200,231.7610
POST,/login,200,231.3941
POST,/login,200,231.7288
GET,/libri,200,3.0951
GET,/libri,200,1.8640
GET,/libri,200,1.7412
POST,/login,200,239.8770
POST,/login,200,231.7841
POST,/login,200,232.0421
POST,/login,200,232.0321
GET,/libri,200,1.9240
GET,/libri,200,1.1592
GET,/libri,200,1.0660
POST,/login,200,239.0223
POST,/login,200,232.1651
POST,/login,200,231.6840
POST,/login,200,231.2901
GET,/libri,200,3.0921
GET,/libri,200,1.7779
GET,/libri,200,1.6410
POST,/login,200,238.3509
POST,/login,200,232.2650
POST,/login,200,231.5221
POST,/login,200,231.3149
GET,/libri,200,3.0463
GET,/libri,200,1.9031
GET,/libri,200,1.8282
POST,/login,200,238.5437
POST,/login,200,232.3899
POST,/login,200,232.9390
GET,/libri,200,2.3601
GET,/libri,200,1.4591
GET,/libri,200,2.5480
GET,/libri,200,2.9440
POST,/login,200,279.2771
POST,/login,200,230.9909
POST,/login,200,232.2001
GET,/libri,200,2.5570
GET,/libri,200,1.7469
GET,/libri,200,1.4911
GET,/libri,200,3.5181
POST,/login,200,275.8060
POST,/login,200,232.0368
POST,/login,200,232.3439
GET,/libri,200,1.8833
GET,/libri,200,1.0812
GET,/libri,200,1.0610
GET,/libri,200,2.8460
POST,/login,200,277.2872
POST,/login,200,231.9238
POST,/login,200,231.0102
GET,/libri,200,3.0570
GET,/libri,200,1.8501
GET,/libri,200,1.9269
GET,/libri,200,4.3559
POST,/login,200,276.7408
POST,/login,200,232.2659
POST,/login,200,232.1448
GET,/libri,200,2.3408
GET,/libri,200,1.2801
GET,/libri,200,1.0362
GET,/libri,200,4.4057
POST,/login,200,273.6409
POST,/login,200,231.7488
POST,/login,200,232.2390
GET,/libri,200,1.8418
GET,/libri,200,1.3449
GET,/libri,200,1.1530
POST,/login,200,281.0466
POST,/login,200,231.8408
POST,/login,200,231.3812
GET,/libri,200,2.9368
GET,/libri,200,1.8802
GET,/libri,200,1.7989
POST,/login,200,278.7218
POST,/login,200,232.2199
POST,/login,200,232.0457
GET,/libri,200,2.9860
GET,/libri,200,1.6139
GET,/libri,200,1.6489
POST,/login,200,279.8839
POST,/login,200,231.9150
POST,/login,200,230.8919
GET,/libri,200,2.9030
GET,/libri,200,1.9052
GET,/libri,200,1.9798
POST,/login,200,268.4550
POST,/login,200,233.3598
POST,/login,200,231.7998
POST,/login,200,232.0569
GET,/libri,200,3.0560
GET,/libri,200,1.9038
GET,/libri,200,1.8721
POST,/login,200,232.8930
POST,/login,200,230.8311
POST,/login,200,232.3871
POST,/login,200,232.3079
GET,/libri,200,2.9960
GET,/libri,200,1.9870
GET,/libri,200,1.7006
POST,/login,200,239.4500
POST,/login,200,232.1680
POST,/login,200,232.7099
POST,/login,200,232.1460
GET,/libri,200,2.1989
GET,/libri,200,1.2631
GET,/libri,200,1.1547
POST,/login,200,238.0040
POST,/login,200,232.1939
POST,/login,200,231.9169
POST,/login,200,231.4560
GET,/libri,200,3.1033
GET,/libri,200,1.6630
GET,/libri,200,1.9228
POST,/login,200,239.4140
POST,/login,200,231.5462
POST,/login,200,234.7579
POST,/login,200,231.7488
GET,/libri,200,3.0332
GET,/libri,200,1.8890
GET,/libri,200,1.8623
POST,/login,200,240.6781
POST,/login,200,230.7761
POST,/login,200,233.6400
GET,/libri,200,2.6171
POST,/login,200,231.2148
GET,/libri,200,2.3670
GET,/libri,200,1.5481
GET,/libri,200,2.6371
POST,/login,200,238.3518
POST,/login,200,231.8478
GET,/libri,200,2.9240
POST,/login,200,230.9361
POST,/login,200,230.8340
GET,/libri,200,2.9898
GET,/libri,200,1.8837
GET,/libri,200,1.8301
POST,/login,200,238.4751
POST,/login,200,232.0702
GET,/libri,200,2.5899
POST,/login,200,234.8082
GET,/libri,200,1.6446
GET,/libri,200,0.9830
GET,/libri,200,2.0852
POST,/login,200,272.1827
